course_id,user_id,role,role_id,section_id,status,associated_user_id,limit_section_privileges
IMED.800.202615.CC1,#########,Alternate Teacher,57,10007.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
IMED.800.202615.CC1,,teacher,4,10007.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.608.202615.600,,Alternate Teacher,57,10001.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
MEID.616.202615.600,,teacher,4,10004.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
MEID.616.202615.600,,Alternate Teacher,57,10004.20262,active,,FALSE
MEID.609.202615.600,,Alternate Teacher,57,10002.20262,active,,FALSE
